Company Common Name;Country of Headquarters;TRBC Business Sector Name;Current Ratio;debt to asset ratio ;equity to asset ratio ;debt to equity ratio ;Roa return on asset ;roe return on equity ;long term coverage ratio;asset turnover rate 
Turbon AG;Germany;Technology Equipment;0,98622;0,135911637;0,711687331;2,180005306;-0,11665303;-0,11665303;16,85135448;2,290295173
Oranjewoud NV;Netherlands;Industrial & Commercial Services;1,11694;0,001599539;0,291840942;3,616249819;0,035732736;0,035732736;1398,657093;2,2372072
R Stahl AG;Germany;Industrial Goods;1,79088;0,107089409;0,563996042;2,618797668;-0,172847785;-0,172847785;20,50110729;2,19545146
ASTM SpA;Italy;Transportation;1,50259;1,552978989;1,48268434;2,322811855;0,119725808;0,119725808;0,896075237;1,391586016
Delta Plus Group SA;France;Cyclical Consumer Products;1,76847;0,292629666;0,810766052;1,079888288;0,138261545;0,138261545;5,675289227;1,660757991
NBI Bearings Europe SA;Spain;Industrial Goods;2,92242;0,404622434;0,487270744;2,147270394;0,0516653;0,0516653;2,394984848;0,969064599
Antalis SA;France;Retailers;0,92142;0,000742666;0,153236787;7,546849758;0,011635103;0,011635103;3962,333333;2,942690927
Webac Holding AG;Germany;Industrial Goods;0,9015;0,236342503;1,911662146;0,738548845;-0,423091825;-0,423091825;0,614754098;0,145292522
Azkoyen SA;Spain;Industrial Goods;1,76393;0,062939385;1,46977899;0,488390823;0,184631819;0,184631819;30,97201835;1,949359779
NORDWEST Handel AG;Germany;Mineral Resources;1,40369;0,066172781;0,326985887;2,59637893;0,027743262;0,027743262;33,20333548;2,19715705
Upergy;France;Retailers;2,18972;0,118479334;0,61903652;0,951585278;0,229803689;0,229803689;19,31366143;2,288269747
Neolife SA;France;Mineral Resources;1,43208;0,563668408;0,295625069;4,289027622;-0,56959679;-0,56959679;3,080132873;1,736173592
Alumexx NV;Netherlands;Cyclical Consumer Products;1,08119;0;0,76971214;1,201626016;-0,545682103;-0,545682103;#DIV/0!;0,005006258
Lucibel SA;France;Cyclical Consumer Products;1,65494;0,163998896;1,018904374;0,802072048;-0,106526839;-0,106526839;8,148506521;1,336346074
Freelance.com SA;France;Industrial & Commercial Services;1,01742;0,183594656;0,407315941;3,013102747;0,036281367;0,036281367;13,94754898;2,560695462
Friwo AG;Germany;Industrial Goods;1,69894;0,175688446;0,485527791;1,752715915;0,153996615;0,153996615;17,67725794;3,105689985
3U Holding AG;Germany;Industrial & Commercial Services;2,10711;0,453351532;1,248832272;0,97304124;0,032302093;0,032302093;3,250418144;1,473582044
Logwin AG SA;Luxembourg;Transportation;1,36217;0,030684263;0,506388729;1,74483174;0,086136328;0,086136328;119,6147926;3,670291756
Cerinnov Group SA;France;Industrial Goods;2,74583;0,241152421;0,687108726;0,916418743;-0,081001661;-0,081001661;3,748609272;0,903986202
Aurea SA;France;Industrial & Commercial Services;1,87126;0,263803495;0,780897857;1,124128762;0,041949725;0,041949725;7,774806098;2,051021025
Smartphoto Group NV;Belgium;Retailers;0,94951;0,091157703;2,423731389;0,506205729;0,397447584;0,397447584;37,99083333;3,463157095
Alexanderwerk AG;Germany;Industrial Goods;2,03165;0,006808539;0,559755219;1,163201833;0,351098462;0,351098462;288,2705245;1,962701186
Global Ecopower SA;France;Renewable Energy;1,72507;0,149780005;0,509227573;1,527301092;-0,07669274;-0,07669274;8,891064871;1,33170374
Datron AG;Germany;Industrial Goods;9,66714;0;0,975064858;0,19799471;0,146296593;0,146296593;#DIV/0!;1,85096894
Bio-Uv Group SAS;France;Industrial Goods;1,39761;1,331992758;1,191961397;1,796900639;-0,017030337;-0,017030337;1,425054976;1,898162909
Kap AG;Germany;Banking & Investment Services;1,30842;0,283978292;0,93031718;1,329998265;0,192624376;0,192624376;7,81262983;2,218617272
Ringmetall AG;Germany;Industrial Goods;1,78278;0,320337118;0,951082879;0,993058112;0,169209223;0,169209223;7,990319307;2,559595859
InnoTec TSS AG;Germany;Cyclical Consumer Products;4,2977;0,23944206;1,738712446;0,300059242;0,476094421;0,476094421;8,786700125;2,103905579
Moury Construct SA;Belgium;Industrial & Commercial Services;2,0482;0;0,666083534;0,922788083;0,050267877;0,050267877;#DIV/0!;1,326098841
EQS Group AG;Germany;Software & IT Services;1,08445;0,314748854;2,18907188;0,729116635;-0,041203617;-0,041203617;7,693583911;2,421546721
Service Point Solutions SA;Spain;Industrial & Commercial Services;0,74629;0,107335846;-0,730985449;-2,692120204;-0,16757287;-0,16757287;34,25745977;3,677053421
Constructions Industrielles Mediterranee SA;France;Industrial & Commercial Services;1,11766;0,086443143;0,375762834;2,961429639;0,043652161;0,043652161;15,45935109;1,336354899
KSB SE & Co KgaA;Germany;Industrial Goods;2,19932;0,03555143;0,476132171;2,115508302;0,024475757;0,024475757;40,82801911;1,451494475
